시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
유치원,산성초교 병설유치원,충청북도 청주시 상당구 수영로 349 (용담동),충청북도 청주시 상당구 용담동438,36.63353703,127.5113657,청주시,상당,Y,,4~8,2020-07-17
초등학교,용성초교,충청북도 청주시 상당구 호미로167번길 14 (용암동),충청북도 청주시 상당구 용암1동 2840,36.62394404,127.5166998,청주시,상당,Y,1,4~8,2020-07-17
유치원,용성초교 병설유치원,충청북도 청주시 상당구 호미로167번길 14 (용암동),충청북도 청주시 상당구 용암1동 2840,36.62394404,127.5166998,청주시,상당,Y,6,4~8,2020-07-17
초등학교,봉덕초교,충청북도 청주시 흥덕구 덕암로68번길 9 (봉명동),충청북도 청주시 흥덕구 봉명동2553,36.65262846,127.4623821,청주시,흥덕,Y,5,4~8,2020-07-17
유치원,봉덕초교 병설유치원,충청북도 청주시 흥덕구 덕암로68번길 9 (봉명동),충청북도 청주시 흥덕구 봉명동2553,36.65262846,127.4623821,청주시,흥덕,Y,,4~8,2020-07-17
초등학교,서경초교,충청북도 청주시 흥덕구 서경로 19 (가경동),충청북도 청주시 흥덕구 가경동1584,36.6183524,127.4417915,청주시,흥덕,Y,8,4~8,2020-07-17
유치원,서경초교 병설유치원,충청북도 청주시 흥덕구 서경로 19 (가경동),충청북도 청주시 흥덕구 가경동1584,36.6183524,127.4417915,청주시,흥덕,Y,,4~8,2020-07-17
초등학교,주중초교,충청북도 청주시 청원구 주성로 223 (주중동),충청북도 청주시 청원구 주중동173-3,36.67231061,127.4916833,청주시,청원,Y,3,4~8,2020-07-17
유치원,주중초교 병설유치원,충청북도 청주시 청원구 주성로 223 (주중동),충청북도 청주시 청원구 주중동173-3,36.67231061,127.4916833,청주시,청원,Y,8,4~8,2020-07-17
유치원,죽림유치원,충청북도 청주시 서원구 남이면 대림로 288,충청북도 청주시 서원구 남이면 석판리 152-1,36.59641987,127.4423461,청주시,흥덕,Y,10,4~8,2020-07-17
초등학교,석성초등학교,충청북도 청주시 청원구 북이면 화상석성로 505,충청북도 청주시 청원구 북이면 내둔리 345,36.74946138,127.5136882,청주시,청원,Y,7,4~8,2020-07-17
유치원,석성초교 병설유치원,충청북도 청주시 청원구 북이면 화상석성로 505,충청북도 청주시 청원구 북이면 내둔리 345,36.74946138,127.5136882,청주시,청원,Y,,4~8,2020-07-17
초등학교,죽림초교,충청북도 청주시 서원구 대림로 473 (죽림동),충청북도 청주시 서원구 죽림동293,36.61277873,127.4429224,청주시,흥덕,N,,4~8,2020-07-17
유치원,죽림초교 병설유치원,충청북도 청주시 서원구 대림로 473 (죽림동),충청북도 청주시 서원구 죽림동293,36.61277873,127.4429224,청주시,흥덕,Y,11,4~8,2020-07-17
초등학교,사천초교,충청북도 청주시 청원구 주성로 121,충청북도 청주시 청원구 사천동 36-73,36.67069032,127.4797707,청주시,청원,Y,4,4~8,2020-07-17
유치원,사천초교 병설유치원,충청북도 청주시 청원구 주성로 121,충청북도 청주시 청원구 사천동 36-73,36.67069032,127.4797707,청주시,청원,Y,,4~8,2020-07-17
초등학교,비봉초등학교,충청북도 청주시 청원구 오창읍 구룡2길 10,충청북도 청주시 청원구 오창읍 구룡리 395,36.71275547,127.4132313,청주시,청원,Y,7,4~8,2020-07-17
유치원,비봉초교 병설유치원,충청북도 청주시 청원구 오창읍 구룡2길 10,충청북도 청주시 청원구 오창읍 구룡리 395,36.71275547,127.4132313,청주시,청원,Y,,4~8,2020-07-17
어린이집,가덕어린이집,충청북도 청주시 상당구 가덕면 상장인차로 515,충청북도 청주시 상당구 가덕면 인차리 317,36.54873717,127.5462157,청주시,상당,Y,3,4~8,2020-07-17
어린이집,낭성어린이집,충청북도 청주시 상당구 낭성면 산성로 1387,충청북도 청주시 상당구 낭성면 호정리 359-7,36.6220182,127.6085221,청주시,상당,Y,3,4~8,2020-07-17
초등학교,내덕초교,충청북도 청주시 청원구 안덕벌로52번길 22-1 (내덕동),충청북도 청주시 청원구 내덕동61,36.65607615,127.4951187,청주시,청원,Y,7,4~8,2020-07-17
유치원,내덕초교 병설유치원,충청북도 청주시 청원구 안덕벌로52번길 22-1 (내덕동),충청북도 청주시 청원구 내덕동61,36.65607615,127.4951187,청주시,청원,Y,,4~8,2020-07-17
어린이집,내수어린이집,충청북도 청주시 청원구 내수읍 마산1길 80,충청북도 청주시 청원구 내수읍 마산리 1-25,36.72410138,127.5395565,청주시,청원,Y,6,4~8,2020-07-17
초등학교,덕벌초교,충청북도 청주시 청원구 1순환로339번길 86 (우암동),충청북도 청주시 청원구 우암동261-10,36.65530191,127.4790758,청주시,청원,Y,16,4~8,2020-07-17
유치원,덕벌초교 병설유치원,충청북도 청주시 청원구 1순환로339번길 86 (우암동),충청북도 청주시 청원구 우암동261-10,36.65530191,127.4790758,청주시,청원,Y,,4~8,2020-07-17
어린이집,미원어린이집,충청북도 청주시 상당구 미원면 내산3리길 26-6,충청북도 청주시 상당구 미원면 내산리 286-4,36.64729395,127.6552102,청주시,상당,Y,2,4~8,2020-07-17
어린이집,우리어린이집,충청북도 청주시 청원구 내수읍 원통숲안1길 5,충청북도 청주시 청원구 내수읍 원통리 263-1,36.70076048,127.5072225,청주시,청원,Y,6,4~8,2020-07-17
유치원,청주리라유치원(아이세상어린이집 옆),충청북도 청주시 청원구 1순환로197번길 48 (내덕동),충청북도 청주시 청원구 내덕동422-8,36.6624342,127.490833,청주시,청원,Y,5,4~8,2020-07-17
어린이집,가락어린이집,충청북도 청주시 흥덕구 옥산면 옥산시내1길 63-4,충청북도 청주시 흥덕구 옥산면 가락리 734-3,36.66447827,127.3781013,청주시,흥덕,Y,3,4~8,2020-07-17
어린이집,강내어린이집,충청북도 청주시 흥덕구 강내면 태성탑연로 178-2,충청북도 청주시 흥덕구 강내면 다락리 301,36.60098841,127.3581568,청주시,흥덕,Y,2,4~8,2020-07-17
초등학교,남일초등학교,충청북도 청주시 상당구 남일면 단재로 630,충청북도 청주시 상당구 남일면 쌍수리 321,36.57578618,127.5094741,청주시,상당,Y,3,4~8,2020-07-17
유치원,남일초교 병설유치원,충청북도 청주시 상당구 남일면 단재로 630,충청북도 청주시 상당구 남일면 쌍수리 321,36.57578618,127.5094741,청주시,상당,Y,,4~8,2020-07-17
초등학교,만수초등학교,충청북도 청주시 흥덕구 오송읍 만수2길 11,충청북도 청주시 흥덕구 오송읍 만수리 551,36.62730183,127.3293354,청주시,흥덕,Y,8,4~8,2020-07-17
유치원,만수초교 병설유치원,충청북도 청주시 흥덕구 오송읍 만수2길 11,충청북도 청주시 흥덕구 오송읍 만수리 551,36.62730183,127.3293354,청주시,흥덕,Y,,4~8,2020-07-17
